"Indicatortype","Indicator","Description"
"FileHash-SHA256","2dc9f4206245a600456b35f8f405e2b84a028cbaaba0252c81f3482cc8161511",""
"FileHash-SHA256","ad9cc6e86f35fa43f1c884188d9bf44321c547365ab23670107b8b16e497fda5",""
"URL","http://coolrat.xyz/Loading.html",""
"CVE","CVE-2022-30190",""
"FileHash-MD5","ca322dd565f02d6d8c374e220cf8078e","MD5 of 3206fe87e2874db37239d64779c1f504cfca528cef8f5c2214f8434b392aa25a"
"FileHash-SHA1","e07a5ab133d0e22fbb0a434653bf50a851031001","SHA1 of 3206fe87e2874db37239d64779c1f504cfca528cef8f5c2214f8434b392aa25a"
"FileHash-SHA256","3206fe87e2874db37239d64779c1f504cfca528cef8f5c2214f8434b392aa25a",""
"domain","coolrat.xyz",""
"FileHash-SHA256","bdbe5423a7732b60b836042f9fd2f21449ed7547b060680aaa7563418759c286",""
