"Indicatortype","Indicator","Description"
"domain","encores-bz.com",""
"domain","endoselec.com",""
"domain","envizai.com",""
"domain","eriecommunltyfcu.org",""
"domain","etacenter.com",""
"domain","etiselat.com",""
"domain","etxfabs.com",""
"domain","eu-biuestarinc.com",""
"domain","excelavgroups.com",""
"domain","excelville.com",""
"domain","expirationrequest-passwordreminder.com",""
"domain","expiryrequest-mailaccess.com",""
"domain","exyta.net",""
"domain","fabirtek.com",""
"domain","fabrinet-globals.com",""
"domain","fabrinets.com",""
"domain","fahdsuk.com",""
"domain","faircapitallc.com",""
"domain","fcmilndia.com",""
"domain","fgtsolutions.co",""
"domain","filkjooor.com",""
"domain","finalmanstandlap.com",""
"domain","fiorettl.com",""
"domain","fiplodjfjfjnxjisski.com",""
"domain","firstablenefcu.org",""
"domain","flakestld.us",""
"domain","flowerandmore.biz",""
"domain","fmh-corp.org",""
"domain","foodjet.click",""
"domain","forbedentallab.com",""
"domain","fr-ggori.xyz",""
"domain","friendsofc-online.com",""
"domain","frontofflcce.com",""
"domain","fulier.ca",""
"domain","galatachemicals.net",""
"domain","garefl.com",""
"domain","gassentec.com",""
"domain","gatewaytubular.com",""
"domain","generalstores-be.click",""
"domain","genevainn.org",""
"domain","gennfed.com",""
"domain","ghllamak.com",""
"domain","ghvgghjjhbhbhb.com",""
"domain","gianjet.com",""
"domain","gimc-cocktail.com",""
"domain","girvlnassoc.net",""
"domain","goarnstrong.com",""
"domain","graycardinal.ca",""
"domain","greatwauecom.com",""
"domain","greenstalkholding.com",""
"domain","gsokoauyilpoi.com",""
"domain","gspwii.com",""
"domain","guardanthealths.com",""
"domain","hafe1e.com",""
"domain","haglaegis.com",""
"domain","halalog.com",""
"domain","halesjewelers.org",""
"domain","harvestclhurchba.com",""
"domain","hasseco.co",""
"domain","hawaiianpr0p.com",""
"domain","hcisystem.net",""
"domain","healths-law.com",""
"domain","heibraunievey.com",""
"domain","hgjvdfvfh.com",""
"domain","hhppny.com",""
"domain","hidefsurveying.info",""
"domain","hjdlsksfhhn.com",""
"domain","hokualakavai.com",""
"domain","holder-fcl.com",""
"domain","horizonholdlngs.com",""
"domain","horstandgrabenwealth.xyz",""
"domain","hsshd729s.com",""
"domain","huguhsings.com",""
"domain","iaunchfinance.com",""
"domain","imperialprecision.org",""
"domain","inboxmainchil.com",""
"domain","infokeysinc-mlcrosoftpasswdd.com",""
"domain","infomicrosoft.net",""
"domain","innfinancial.net",""
"domain","insaertab.com",""
"domain","instagzone.com",""
"domain","intelliclicksoftware-online.software",""
