"Indicator type","Indicator","Description"
"IPv4","212.237.5.209",""
"IPv4","212.237.56.116",""
"IPv4","212.24.98.99",""
"IPv4","213.190.4.223",""
"IPv4","213.32.75.32",""
"IPv4","216.10.251.121",""
"IPv4","216.120.236.62",""
"IPv4","216.158.226.206",""
"IPv4","217.160.107.189",""
"IPv4","217.182.143.207",""
"IPv4","217.182.143.248",""
"IPv4","217.182.25.250",""
"IPv4","217.182.78.224",""
"IPv4","217.79.180.211",""
"IPv4","23.246.204.126",""
"IPv4","24.152.37.138",""
"IPv4","27.254.174.84",""
"IPv4","27.54.89.58",""
"IPv4","31.207.89.74",""
"IPv4","31.24.158.56",""
"IPv4","36.67.23.59",""
"IPv4","37.247.35.132",""
"IPv4","37.44.244.177",""
"IPv4","37.59.209.141",""
"IPv4","41.76.108.46",""
"IPv4","45.118.115.99",""
"IPv4","45.118.135.203",""
"IPv4","45.13.132.26",""
"IPv4","45.138.98.34",""
"IPv4","45.142.114.231",""
"IPv4","45.15.23.184",""
"IPv4","45.176.232.124",""
"IPv4","45.176.232.125",""
"IPv4","45.184.36.10",""
"IPv4","45.235.8.30",""
"IPv4","45.55.63.166",""
"IPv4","45.71.195.104",""
"IPv4","45.76.1.145",""
"IPv4","45.76.159.214",""
"IPv4","45.76.176.10",""
"IPv4","45.79.173.200",""
"IPv4","45.79.33.48",""
"IPv4","45.79.80.198",""
"IPv4","45.80.148.200",""
"IPv4","46.41.130.218",""
"IPv4","46.55.222.11",""
"IPv4","47.110.149.223",""
"IPv4","49.231.16.102",""
"IPv4","5.189.160.61",""
"IPv4","5.56.132.177",""
"IPv4","5.9.116.246",""
"IPv4","50.116.19.225",""
"IPv4","50.116.54.215",""
"IPv4","50.30.40.196",""
"IPv4","51.15.4.22",""
"IPv4","51.178.186.134",""
"IPv4","51.178.61.60",""
"IPv4","51.210.176.76",""
"IPv4","51.210.242.234",""
"IPv4","51.254.140.238",""
"IPv4","51.68.141.164",""
"IPv4","51.68.175.8",""
"IPv4","51.75.33.122",""
"IPv4","51.77.82.125",""
"IPv4","51.79.205.117",""
"IPv4","51.91.142.158",""
"IPv4","51.91.76.89",""
"IPv4","54.36.185.63",""
"IPv4","54.36.98.59",""
"IPv4","54.37.106.167",""
"IPv4","54.37.212.235",""
"IPv4","54.37.228.122",""
"IPv4","54.37.70.105",""
"IPv4","54.38.143.246",""
"IPv4","54.38.242.185",""
"IPv4","58.227.42.236",""
"IPv4","59.148.253.194",""
"IPv4","61.7.231.226",""
"IPv4","61.7.231.229",""
"IPv4","62.141.45.103",""
"IPv4","62.171.178.147",""
"IPv4","62.75.251.60",""
"IPv4","66.42.55.5",""
"IPv4","66.42.57.149",""
"IPv4","67.205.162.68",""
"IPv4","68.183.62.61",""
"IPv4","68.183.84.74",""
"IPv4","68.183.91.111",""
"IPv4","68.183.93.250",""
"IPv4","68.183.94.239",""
"IPv4","69.16.218.101",""
"IPv4","69.197.160.180",""
"IPv4","70.36.102.35",""
"IPv4","72.15.201.15",""
"IPv4","74.207.230.120",""
"IPv4","74.63.218.139",""
"IPv4","77.81.247.144",""
"IPv4","78.31.66.214",""
"IPv4","78.46.73.125",""
"IPv4","78.47.204.80",""
"IPv4","79.137.35.198",""
"IPv4","79.143.186.143",""
"IPv4","79.143.187.147",""
"IPv4","79.172.212.216",""
"IPv4","80.211.107.116",""
"IPv4","80.211.3.13",""
"IPv4","80.241.218.90",""
"IPv4","81.0.236.90",""
"IPv4","81.0.236.93",""
"IPv4","82.165.145.100",""
"IPv4","82.165.152.127",""
"IPv4","85.214.67.203",""
"IPv4","85.214.93.93",""
"IPv4","85.25.120.45",""
"IPv4","87.106.97.83",""
"IPv4","88.217.172.165",""
"IPv4","89.32.148.223",""
"IPv4","91.200.186.228",""
"IPv4","91.207.181.106",""
"IPv4","91.207.28.33",""
"IPv4","92.240.254.110",""
"IPv4","93.104.208.37",""
"IPv4","93.104.209.107",""
"IPv4","93.104.209.56",""
"IPv4","94.177.178.26",""
"IPv4","94.177.248.64",""
"IPv4","94.23.45.86",""
"IPv4","96.125.171.165",""
