NAME,VIRTUALNETWORK,VirtualNetworkTrustLevel,SUBSCRIPTION
SYADAV-WIN10-4D,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu-Aman-20,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu-Proxy-Tuned,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu-STL-Tuned,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu18,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu18-lpmcadmin-Tuned,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu20,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu20-lpmcadmin-Tuned,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu20-Tuned,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntu20-wpad,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
UBUNTU22G-SID,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntux64,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntux64-20-Tuned,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntux64-LPMTEST,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
UbuntuX64-Shared,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Ubuntux64-Tuned,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10-20H2-Cloud-Automation-Rit,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10-20H2-Cloud-MUP-Rit,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x32-Aman,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x64,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x64-Debapriyo,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x64-SDAS,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x64Aman,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x64AT,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x64MUP,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win10x64Proxy,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Win11,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
