"Indicator type","Indicator","Description"
"FileHash-MD5","ddfe44f87fac7daeeb1b681dea3300e9",""
"FileHash-MD5","e31c43dd8cb17e9d68c65e645fb3f6e8",""
"FileHash-SHA1","9a7291fc90f56d8c46cc78397a6f36bb23c60f66",""
"FileHash-SHA1","ecbbded5b85f61686377f7592dacb25c264e9908","SHA1 of e31c43dd8cb17e9d68c65e645fb3f6e8"
"FileHash-SHA256","25969ab58383a5fdc53e9861a25c3ed90813e4e5fcc9d8a99df5e9f74b427474","SHA256 of e31c43dd8cb17e9d68c65e645fb3f6e8"
"FileHash-SHA256","951f74882c1873bfe56e0bff225e3cd5d8964af4f7334182bc1bf0ec9e987a0a",""
"hostname","update.bokts.com",""
"hostname","www.erda158.top",""
