vmname,ipaddress
CSCFMWIN1007,10.140.103.8
CSCFMWIN1008,10.140.103.11
CSCFMWIN1009,10.140.103.14
CSCFMWIN1011,10.140.103.10
CSCFMWIN1012,10.140.103.12
CSCFMWIN1901,10.140.103.6
CSMAGPIEW1001,10.140.103.13
CSMAGPIEW105,10.140.103.17
CXE21-TestVM,10.140.104.23
darkmaterials,10.140.31.68
datascience001,10.143.40.4
datascience01,10.143.40.5
datascience01,10.140.105.13
datascience02,10.143.40.7
datascience02,10.140.105.10
DAZUSE2WTCSQL01,10.140.46.137
dc1,10.140.14.223
DCEBDOPENXPKICAAP01,10.140.106.31
dcebscannerweb01,10.140.66.5
dcebscannerweb02,10.140.66.6
DCEBUGALERAAPP01,10.140.107.22
DCEBUGALERAAPP02,10.140.107.23
DCEBUGALERAAPP03,10.140.107.24
dcebuqueryapp01,10.140.66.7
DDU-FN-Win2k19-Chandra,10.140.98.21
DDUW2K16-Sayanti,10.140.98.206
Debian-10,10.140.98.8
Debian8,10.140.98.107
DebLDD2k12R2,10.140.96.56
DEBPETEST24123,10.140.96.41
Debs5-1withSQL,10.140.96.48
democa,10.140.14.134
demodc,10.140.14.133
devactivemq01,10.140.107.14
devbriarascolto01,10.140.107.15
devbriarparser01,10.140.107.41
devjenkins,10.140.52.144
devmariadb01,10.140.107.16
devsqlsrv01,10.140.107.64
devwatsonapi01,10.140.107.7
devwebapp01,10.140.107.17
DFS1,10.140.14.179
DFS2,10.140.14.181
DFS3,10.140.14.184
DFS4,10.140.14.187
DFS5,10.140.14.193
DFS6,10.140.14.190
DFS7,10.140.14.185
dfsdc,10.140.14.189
DFSDC-Template,10.140.36.36
DFSDC-Template,10.140.14.149
dhammond-1,10.140.32.118
dhammond-2,10.140.32.119
dibyendu-2k12,10.140.100.48
Dibyendu-win10-64,10.140.100.57
DibyenduWin10x64,10.140.100.53
Digital-Portfoliodb-New,10.140.36.49
DINDWMPSWEB01,10.140.104.24
DIPAUTOMATIONLDDLPM,10.140.96.8
DIPLPM2k19MI,10.140.96.71
DIPLPM571ENT1,10.140.96.6
DIPLPM571ENT2,10.140.96.37
DIPLPM571ENT3,10.140.96.38
dipLPMSQL2k19,10.140.96.84
DIPPOLICY211222,10.140.96.32
discourse,10.140.13.9
dlexwidpubdev,10.140.33.5
dns1,10.140.14.183
docportal-dev-restore,10.140.36.59
droy-mve-vm-01,10.140.98.152
droy-mve-vm-02,10.140.98.14
droy-mve-vm-03,10.140.98.17
droy-mve-vm-04,10.140.98.18
droy-mve-vm-05,10.140.98.11
droy-mve-vm-06,10.140.98.13
EMBTSTWIN16,10.140.108.14
emc-esx53-Kapow,10.140.53.5
enrollment,10.140.14.224
enrollment-autoenroll-ftlesx-rds-lexmark-com,10.140.36.12
enrollmentWS,10.140.14.225
EriksMVE,10.140.53.8
eSF-eDASv5-SVR,10.140.65.20
eSF-eDASv9-SVR,10.140.65.19
eSF2016SP3,10.140.105.9
esfjenkins,10.140.13.17
esfrightfax-105,10.140.65.6
esfrightfax-106,10.140.65.7
ESFRIGHTFAXSVR1,10.140.65.9
EST-Pritam,10.140.98.147
EST2-Pritam,10.140.98.214
etcnpw16vm-01,10.140.108.34
etcnpw19vm-01,10.140.108.37
ettanpgateway,10.140.108.75
ETTANPNLS,10.140.15.10
ettanpnlsdev,10.140.108.66
ETTANPSQLDB01,10.152.18.4
ettanpstydash,10.140.108.64
ettanptcm,10.140.108.67
ettanptcmdevnw,10.140.108.65
ettanptcmnew,10.140.108.68
ettanpwcsft,10.140.108.69
ettanpwebft,10.140.108.70
euclid,10.140.31.70
euclid2,10.140.31.71
EXTRAVIEW-REPLICA-DEV,10.140.108.72
fakeportaldb-new,10.140.36.60
FB-4-0,10.140.98.164
FB-4-1-2,10.140.98.213
FB-42-Susmita,10.140.98.127
FB-Domain-2019,10.140.98.166
FB410W2K22-Souhardhya,10.140.98.199
FBMVE03v33-Deba-Win2k16,10.140.98.33
fbrugman-1,10.140.32.98
fieldss-2k12-2,10.140.32.120
fieldss-2k12-nuance,10.140.32.122
fieldss-2k16-1,10.140.32.123
fieldss-sanjay-stuff,10.140.32.126
filebounddevappvm01,10.140.32.139
fleetjenkins,10.140.13.18
flexprodlicvm01,10.140.31.17
flexprodlicvm02,10.140.31.16
FNAPP400W2K16-Souhardhya,10.140.98.205
FNAPP412W2K16-Souhardhya,10.140.98.202
FOREMAN,10.143.24.137
ftpbbn,10.152.14.38
fuzzy-Linux,10.140.36.10
fuzzy-Linux,10.140.14.150
fw-coverity,10.143.24.138
fw-sql,10.140.14.166
fw2,10.140.14.169
fwbuildprodweb1,10.143.24.133
fwdc2,10.140.14.137
FWDISCOVERY,10.140.108.93
FWSETTINGS,10.140.108.73
fwweb,10.140.14.175
gexitodevappvm01,10.140.32.141
GMSA-2k19-Susmita,10.140.98.208
GMSA2-K19-Susmita,10.140.98.207
guam,10.140.36.40
gurudas10x64-01,10.140.102.64
gurudas8x64-01,10.140.102.63
hdaswin10g,10.140.100.193
hdaswin2019test,10.140.100.10
herring-12-1,10.140.32.124
herring-2k16-4,10.140.32.121
herring-2k19-3,10.140.32.7
ilalji-1,10.140.32.83
indJAWStestwebvm01,10.140.100.168
Indrac-Win2k16-Oracle19-PPRDB,10.140.100.43
intersub-ca,10.140.14.226
intersub-dc,10.140.14.227
INTERSUBCA,10.140.14.148
ipa-azure,10.140.31.23
ipsecws-ipsec,10.140.14.146
ipsecws-ipsec-domain-ftlesx-rds-lexmark-com,10.140.36.7
IQTSQLSVR01,10.140.66.12
IQTSQLSVR02,10.140.66.13
ISOF-Server,10.140.108.29
issjenkins,10.140.13.20
issjenkins2,10.140.13.59
jayantasw2012a,10.140.98.155
JCP-DB-2,10.140.97.89
jelamb-1,10.140.32.41
jenkins-vm-dev,10.140.108.86
jenkins.rds,10.140.13.22
JenkinsNew,10.140.13.35
jhuertamarti-1,10.140.32.95
johnp-jpmc-a-1,10.140.32.116
johnp-jpmc-a-2,10.140.32.115
johnp-jpmc-db,10.140.32.108
joncollett-2k16-1,10.140.32.77
joncollett-5,10.140.32.75
jpmcw2k19vm1,10.140.106.196
jpmcw2k19vm10,10.140.106.202
jpmcw2k19vm11,10.140.106.216
jpmcw2k19vm12,10.140.106.207
jpmcw2k19vm13,10.140.106.209
jpmcw2k19vm14,10.140.106.215
jpmcw2k19vm15,10.140.106.219
jpmcw2k19vm16,10.140.106.208
jpmcw2k19vm17,10.140.106.227
jpmcw2k19vm18,10.140.106.224
jpmcw2k19vm19,10.140.106.223
jpmcw2k19vm2,10.140.106.197
jpmcw2k19vm20,10.140.106.199
jpmcw2k19vm21,10.140.106.226
jpmcw2k19vm22,10.140.106.230
jpmcw2k19vm23,10.140.106.211
jpmcw2k19vm24,10.140.106.201
jpmcw2k19vm25,10.140.106.229
jpmcw2k19vm26,10.140.106.222
jpmcw2k19vm27,10.140.106.231
jpmcw2k19vm28,10.140.106.218
jpmcw2k19vm29,10.140.106.206
jpmcw2k19vm3,10.140.106.221
jpmcw2k19vm30,10.140.106.203
jpmcw2k19vm31,10.140.106.200
jpmcw2k19vm32,10.140.106.217
jpmcw2k19vm33,10.140.106.198
jpmcw2k19vm34,10.140.106.214
jpmcw2k19vm35,10.140.106.235
jpmcw2k19vm36,10.140.106.220
jpmcw2k19vm37,10.140.106.204
jpmcw2k19vm4,10.140.106.237
jpmcw2k19vm5,10.140.106.210
jpmcw2k19vm6,10.140.106.232
jpmcw2k19vm7,10.140.106.212
jpmcw2k19vm8,10.140.106.234
jpmcw2k19vm9,10.140.106.233
jpmcwin10vm1,10.140.106.236
jpmcwin10vm2,10.140.106.205
jpmcwin10vm3,10.140.106.213
jpmcwin10vm4,10.140.106.228
jpmcwin10vm5,10.140.106.225
jpower-2k12-1,10.140.32.134
jpower-2k12-2,10.140.32.135
JUNO,10.140.108.102
JUPITER,10.140.108.92
kali-avi2,10.140.104.185
KALILINUX-avidas,10.140.106.100
KALILINUX-Jayanta,10.140.104.178
kaustav-sarkar,10.140.98.159
kdhar07-win10x64-scan,10.140.102.49
Kinton2012R2-WG4,10.140.106.176
Kinton2012R2-WG5,10.140.106.177
Kinton2012R2WG1,10.140.106.147
Kinton2012R2WG2,10.140.106.148
Kinton2012R2WG3,10.140.106.149
Kinton2016R2-WG1,10.140.106.155
kofax-cs-1,10.140.32.78
KWin16-ITServer,10.140.106.150
labratdev,10.152.14.31
LAMP-installation-ActionTracker,10.140.36.8
LAMPInstallation,10.140.14.147
latest-one,10.140.98.32
ldapca,10.140.14.191
ldapdc2,10.140.14.186
ldapnofix,10.140.14.195
ldaptemp,10.140.14.217
LDCM-POC-2016VM,10.140.104.13
LDCM-SilentInstall,10.140.104.21
LDDARVM01,10.140.96.26
LDDDEBSARATHI2k16,10.140.96.4
LDDdevArnab2016,10.140.96.23
LDDDEVSQLDB19,10.140.96.42
LDDLPMMSSQL19,10.140.96.19
LDDSAYAN2k19,10.140.96.46
LDDSAYANVM01,10.140.96.66
lex-dns01,10.140.14.153
lex-dns01-ftglobal-lexmark-com,10.140.36.9
lex-dns02,10.140.14.155
lex-dns02-ftglobal-lexmark-com,10.140.36.20
lexautodirctr01,10.140.107.63
lexbldlinux07,10.140.13.50
lexbldlinux20,10.140.13.28
lexbldlinux30,10.140.13.31
lexbldlinux31,10.140.13.32
lexbldlinux32,10.140.13.33
lexbldlinux33,10.140.13.44
lexbldlinux34,10.140.13.45
lexbldlinux35,10.140.13.30
lexbldlinux37,10.140.13.29
lexbldlinux38,10.140.13.55
lexbldlinux39,10.140.13.4
lexbldlinux45,10.140.13.38
lexbldlinux46,10.140.13.36
lexbldlinux47,10.140.13.26
lexbldlinux49,10.143.43.4
lexbldlinux52,10.140.13.49
lexbldsync,10.140.13.13
lexbldtest05,10.140.13.46
lexbldtest10,10.140.13.25
lexbldtest50,10.140.13.66
lexbldwin02,10.140.13.27
lexbldwin03,10.140.13.6
lexbldwin04,10.140.13.53
lexbldwin05,10.140.13.52
lexbldwin06,10.140.13.51
lexbldwin10,10.140.13.39
lexbldwin12,10.140.13.56
lexbldwin13,10.140.13.48
lexbldwin15,10.140.13.41
lexbldwin17,10.140.13.62
lexbldwin35,10.140.13.60
lexbldwintest20,10.140.13.58
lexmpsdevdbLDCM,10.140.30.15
lexmpsdevsql,10.140.30.28
lexmpsdevsql01,10.140.30.24
lexscmbld22,10.140.13.57
lexscmbld23,10.140.13.40
lexscmbld27,10.140.13.47
lexscmbld30,10.140.13.54
lexscmbld35,10.140.13.61
Lextest01dev,10.152.14.23
lextest02,10.152.14.19
LF-W16-MSSQL,10.140.106.135
LF-W16-T2-OFF,10.140.106.136
LF-W16-TEST3,10.140.106.137
LF-W2K12-TEST2,10.140.106.138
licensereturn,10.140.13.8
liverpooldevappvm01,10.140.32.63
lms-tfs-cl,10.140.98.25
LPM-ADFS-SERV19,10.140.96.63
LPM-ADFS-SERV2022,10.140.96.61
LPM-FileServerold,10.140.98.27
LPM-MSSQL2014,10.140.98.28
LPM-Third-Party,10.140.32.35
LPMARNADFS1323,10.140.96.31
LPMC-Automation-Demo,10.140.102.48
LPMC-Ubuntu20-DEB,10.140.102.117
LPMC-Ubuntu20-Deb01,10.140.102.115
LPMC-Ubuntu20-SDAS01,10.140.102.118
LPMC-Win10x64,10.140.102.113
LPMC-WIN10x64-DEB-02,10.140.102.120
LPMC-Win11-1,10.140.102.24
LPMC-Win11-2,10.140.102.20
LPMC-Win11-3,10.140.102.14
LPMC-WIN11-DEB-02,10.140.102.119
lpmcnpclnt1-190,10.140.106.152
lpmcnpclnt2-167,10.140.106.153
lpmcnplltvm-01,10.140.106.146
lpmcnplltvm-02,10.140.106.143
lpmcnptstvm-01,10.140.106.141
lpmcnptstvm-02,10.140.106.144
lpmcnptstvm-03,10.140.106.145
lpmcnpu20vm-01,10.140.106.139
lpmcnpw10x32clt,10.140.106.154
lpmcnpw11vm-02,10.140.106.140
lpmcnpw8clnt,10.140.106.151
lpmcnpwgvm-01,10.140.106.142
LPMCU22VM-01,10.140.106.134
LPMCW11VM-01,10.140.106.133
LPMJASPERREPO,10.140.96.45
LPMLDAPADSERV22,10.140.96.58
LPMLDDADDSVM01,10.140.96.5
LPMLDDADFRVM01,10.140.96.10
LPMLDDADFSVM01,10.140.96.11
LPMLDDADTRVM01,10.140.96.12
LPMLDDDEBPE32323,10.140.96.73
LPMLDDESVM01,10.140.96.13
LPMLDDJPMCTEST15323,10.140.96.68
LPMLDDMI57,10.140.96.70
LPMMAIL-EXCHANGE19,10.140.96.30
lpmnpf5vm01,10.140.106.238
lpmnpf5vm02,10.140.106.239
lpmnpf5vm03,10.140.106.241
lpmnptestvm01,10.140.106.240
LPMSQLSERVER2022,10.140.96.43
LPMUPASANA2,10.140.96.67
LPMUPASANA2k16,10.140.96.60
LPPW2K16-AVM6,10.140.96.50
LPPW2K16-AVM7,10.140.96.49
LPPW2K16-AVM8,10.140.96.24
LPPW2K16-AVM9,10.140.96.51
LPPW2K19-AVM1,10.140.96.54
LPPW2K19-AVM10,10.140.96.57
LPPW2K19-AVM11,10.140.96.59
LPPW2K19-AVM12,10.140.96.40
LPPW2K19-AVM2,10.140.96.47
LPPW2K19-AVM3,10.140.96.39
LPPW2K19-AVM4,10.140.96.53
LRME-TEST,10.140.104.19
lucy,10.143.28.133
LXASUT22-WIN8,10.140.107.25
Magicinfo-new,10.140.98.29
MAGPIEW10X6402,10.140.101.9
MAGPIEW10X6403,10.140.101.11
MAGPIEW10X6404,10.140.101.12
MAGPIEWIN2201,10.140.101.6
mailbbn-pa,10.152.14.27
maildc,10.140.14.228
Manas-Kali-Linux1,10.140.106.101
Manas-Kali-Linux2,10.140.104.181
Mantle3,10.140.32.132
MARS,10.140.108.115
MARS10-194-120-46,10.140.105.12
marvel,10.140.14.136
Maya,10.140.65.12
mcad-jenkins-artifactory,10.140.52.143
meerkat,10.140.14.176
mhc-98-1,10.140.32.203
migration-console,10.140.98.26
mirfarukdev01,10.140.100.187
mldda-stl-dev-us-fa,10.140.52.5
mldda-stl-qa-eu-fa,10.140.104.137
mldda-stl-qa-us-fa,10.140.52.6
mobilejenkins,10.140.13.16
MPS-2019-TESTVM,10.140.104.8
MPS-CONFIG-16,10.140.104.48
MPS-CONFIG-TESTSYSTEM,10.140.104.20
MPS-CONFIG-VM,10.140.30.32
MPS-ENT-2019,10.140.104.47
MPS-ENT-2019,10.140.104.49
MPS-ENTEST-2019,10.140.104.50
MPS-LDCM-19,10.140.104.9
MPS-LDCM-22,10.140.104.4
MPS-LDCM-Test,10.140.104.15
MPS-LDD-Test,10.140.104.17
MPS-QA-2022,10.140.104.5
MPS-QATEST-VM,10.140.30.31
MPS-TEAM-19,10.140.30.23
MPS-TEST-1,10.140.30.20
MPS-TEST-2,10.140.30.21
MPS-TEST-2019,10.140.104.46
MPS-TEST-VM-2016,10.140.30.22
MPS-USE-VM,10.140.104.53
MPS-WORK-VM,10.140.30.27
mps2xdappu20vm1,10.140.104.136
mps2xdappu22vm1,10.140.104.135
MPS2XW10X64T01,10.140.104.133
MPS2XW10X64T02,10.140.52.4
MPS3Q20RDCWM19,10.140.104.7
MPSAD,10.140.30.19
MPSNWIN11-AVM1,10.140.104.36
MPSNWIN11-AVM2,10.140.104.42
MPSNWIN11-AVM3,10.140.104.41
MPSNWIN11-AVM4,10.140.104.45
MPSNWIN11-AVM5,10.140.104.35
MPSPOC2016VM,10.140.104.6
MPSW2K16-AVM1,10.140.104.40
MPSW2K16-AVM2,10.140.104.43
MPSW2K16-AVM3,10.140.104.39
MPSW2K16-AVM4,10.140.104.44
MPSW2K16-AVM5,10.140.104.38
MPSW2K19-AVM1,10.140.104.28
MPSW2K19-AVM2,10.140.104.32
MPSW2K19-AVM3,10.140.104.30
MPSW2K19-AVM4,10.140.104.27
MPSW2K19-AVM5,10.140.104.37
MPSW2K22-AVM1,10.140.104.33
MPSW2K22-AVM2,10.140.104.34
MPSW2K22-AVM3,10.140.104.29
MPSW2K22-AVM4,10.140.104.31
MPSW2K22-AVM5,10.140.104.26
mriganka-testvm-eus2,10.140.32.42
MS-CA,10.140.98.30
MS2012R2-CEP-ManAprrov,10.140.98.168
MS2012R2-CES-ManAprrov,10.140.98.167
MS2012R2CEP,10.140.98.77
MS2012R2CES,10.140.98.78
MSDN-2008R1,10.140.108.119
MSDN-2008R2,10.140.108.101
MSDN-2012R1,10.140.108.104
MSDN-2012R2,10.140.108.112
MSDN-2016R1,10.140.108.113
MSDN-2019R1,10.140.108.110
MSDN-AJAX-DC,10.140.108.27
MSDN-ANANKE-APP,10.140.108.26
MSDN-APOLLO-DC,10.140.108.8
MSDN-ARES-DC,10.140.108.44
MSDN-CASTORDC,10.140.108.99
MSDN-CHAOS-DC,10.140.108.80
MSDN-CRIUS-DC,10.140.108.97
MSDN-DIONE-DC,10.140.108.98
MSDN-DOOM-DC,10.140.108.87
MSDN-DYIK-DC,10.140.108.53
MSDN-EOS-DC,10.140.108.89
MSDN-EROS-DC,10.140.108.56
MSDN-FLORA-DC,10.140.108.118
MSDN-GAEA-DNS,10.140.108.5
MSDN-HADES-DC,10.140.108.90
MSDN-HECTOR-DC,10.140.108.49
MSDN-HERA-DC,10.140.108.50
MSDN-HYPNOS-APP,10.140.108.41
