NAME,VIRTUALNETWORK,TrustLevel,SUBSCRIPTION,IPADDRESS
MSDN-XP-002,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.23
MSDN-ZEUS-DC,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.15
PCBTUSELHUBAPP01,vnet-eus2-etl-np-01,Medium,R&D.EmbeddedTest.DevTest,10.140.15.7
PCBTUSELNODAPP01,vnet-eus2-etl-np-01,Medium,R&D.EmbeddedTest.DevTest,10.140.15.8
PCBTUSELNODAPP02,vnet-eus2-etl-np-01,Medium,R&D.EmbeddedTest.DevTest,10.140.15.5
PCBTUSELNODAPP03,vnet-eus2-etl-np-01,Medium,R&D.EmbeddedTest.DevTest,10.140.15.6
PCBTUSELNODAPP04,vnet-eus2-etl-np-01,Medium,R&D.EmbeddedTest.DevTest,10.140.15.9
RAZOR,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.32
TestVM,vnet-eus2-etl-np-01,Medium,R&D.EmbeddedTest.DevTest,10.140.15.4
UBUNTU12043-001,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.30
UBUNTU12043-002,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.45
UBUNTU18045-001,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.57
UBUNTUSRV01,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.10
UBUNTUSRV02,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.11
UBUNTUSRV03,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.31
