"Indicatortype","Indicator","Description"
"domain","leonvi.ru",""
"domain","slickdelas.net",""
"FileHash-SHA256","961a53089f14c69061c3e156bf279550fb108f8023cc54e1086343eca6d3c437",""
"FileHash-SHA256","b3f691d3a768715898bdee25835259585d3a8c708251ddf829ad011379af558f",""
"domain","blackftiday.com",""
"domain","nlackfriday.com",""
"domain","zipsearch.xyz",""
"hostname","1811.mmpairtap.live",""
"hostname","search.onlinegamezone.club",""
