"Indicatortype","Indicator","Description"
"FileHash-SHA1","3456140ec050a0c1a6214d9ac73306d163392c54","SHA1 of 214011a0d57b1d8238532be4f6414f58"
"FileHash-SHA1","4572caa439574a7ad9c9cd62fdcf017f31e5b465","SHA1 of f9fd9e32cb04c4fc93e65f48562ecad3"
"FileHash-SHA1","4900ce4dbad498ed8245bbc5c1abadbf89180032","SHA1 of c6c794348d17d40c544487154ca72e8e6199b670f804ee25d7bcd9ff884d67b1"
"FileHash-SHA1","4ad54a5819ebdde461309284962392064bee1c59","SHA1 of 6aeca48c9090b301b3fdf9da4382c882"
"FileHash-SHA1","5ecc73eedb0a7cee962371ee8b70b54b128664a5","SHA1 of 9fb86915db1b7c00f1a4587de4e052de"
"FileHash-SHA1","65d71aeb49544eb2f91816800b18f112603c4ca3","SHA1 of ce186cda677f0120cfdb308803b8e8d8"
"FileHash-SHA1","6685758b4ddf8673c5c37c44209ebf18145fba91","SHA1 of 37fe608983d4b06a5549247f0e16bc11"
"FileHash-SHA1","6811b418c052baec7e74260e36e6e3cd34b202b0","SHA1 of f765b0b6e4a34eb95c6f0ddf058bc88d5ef9ec2b11a5f3504d1673f4f69aceca"
"FileHash-SHA1","6961724417d2a011b65dcdbe2dfec8f75bf76b3f","SHA1 of b9bf3e9725696331916e32e5936111e1166867b1d2d3ab05e46b9fff8679cf8f"
"FileHash-SHA1","75b811ed815d4b5e715d20202e5b7d768d0a2141","SHA1 of 8d51fbb90ad5942cd1a5a6534bd9d1d7"
"FileHash-SHA1","8a76768553b4287824e781a65977525ea51929ce","SHA1 of 85ca334f87667bd7fa0c47ae6149353e"
"FileHash-SHA1","9356b5d7c21b0e78b2ed64089e1b215908016415","SHA1 of c41ffcbd933039bb6981d05b4c4c673e"
"FileHash-SHA1","947eaf672745ca10a5c8ad8241f98e44a479d997","SHA1 of 53542ec51daf61fba2d26fe91b7d701f"
"FileHash-SHA1","ad424730f19ca4276e39c5c3be7b72adf00c1452","SHA1 of 23d174e6a0905fd59b2613d5ac106261"
