"Indicator type","Indicator","Description"
"hostname","www.f0679086.xsph.ru",""
"domain","mamamiya137.ru",""
"FileHash-MD5","510a37df4f363a938e32cae45d661c9d",""
"FileHash-MD5","e1826f107e517c0cb9a9b02f74cb94f2","MD5 of c994bc4ed56145b8ff80fb0c0fa47a39e19e0ca3"
"FileHash-SHA1","0976c8d6bd898c06faf90a6b99097ca6f66cca0c",""
"FileHash-SHA1","c994bc4ed56145b8ff80fb0c0fa47a39e19e0ca3",""
"FileHash-SHA256","164f6090aeabe48d2f9a2de12b8da6e8de24735a39371fe922e51689e969ad37","SHA256 of c994bc4ed56145b8ff80fb0c0fa47a39e19e0ca3"
"FileHash-SHA256","cd83d5f6eec9731fbc6c1ce5eee962f82bcf881a63af1f478e6a097760f758df",""
